TOPIC,DESCRIPTION,,Count,
Household characteristics,  No bedrooms,,2920,
Household characteristics,  1 bedroom,,59385,
Household characteristics,  2 bedrooms,,116625,
Household characteristics,  3 bedrooms,,167895,
Household characteristics,  4 or more bedrooms,,155480,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,53,502305,
Household characteristics,  1 to 4 rooms,,153485,
Household characteristics,  5 rooms,,78585,
Household characteristics,  6 rooms,,69385,
Household characteristics,  7 rooms,,59530,
Household characteristics,  8 or more rooms,,141320,
Household characteristics,Average number of rooms per dwelling,,6.1,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,54,502305,
Household characteristics,  One person or fewer per room,,486420,
Household characteristics,  More than one person per room,,15885,
Household characteristics,Total - Private households by housing suitability - 25% sample data,55,502305,
Household characteristics,  Suitable,,476790,
Household characteristics,  Not suitable,,25515,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,56,502305,
Household characteristics,  1960 or before,,43855,
Household characteristics,  1961 to 1980,,133035,
Household characteristics,  1981 to 1990,,59780,
Household characteristics,  1991 to 2000,,75685,
Household characteristics,  2001 to 2005,,50390,
Household characteristics,  2006 to 2010,,47665,
Household characteristics,  2011 to 2015,,45850,
Household characteristics,  2016 to 2021,57,46045,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,58,502305,
Household characteristics,  Only regular maintenance and minor repairs needed,,479525,
Household characteristics,  Major repairs needed,,22780,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,59,502305,
Household characteristics,  One-maintainer household,,242815,
Household characteristics,  Two-maintainer household,,228860,
Household characteristics,  Three-or-more-maintainer household,,30630,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,60,502305,
Household characteristics,  15 to 24 years,,13825,
Household characteristics,  25 to 34 years,,83280,
Household characteristics,  35 to 44 years,,110705,
Household characteristics,  45 to 54 years,,100130,
Household characteristics,  55 to 64 years,,93305,
Household characteristics,  65 to 74 years,,62865,
Household characteristics,  75 to 84 years,,27860,
Household characteristics,  85 years and over,,10340,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",61,499855,
Household characteristics,  Spending less than 30% of income on shelter costs,,385380,
Household characteristics,  Spending 30% or more of income on shelter costs,,114470,
Household characteristics,    30% to less than 100%,,102665,
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,62,502305,
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',,150520,
Household characteristics,    Spending 30% or more of income on shelter costs only,,103650,
Household characteristics,    Not suitable only,,19875,
Household characteristics,    Major repairs needed only,,14995,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',,4215,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',,6360,
Household characteristics,    'Not suitable' and 'major repairs needed',,1170,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',,250,
Household characteristics,  Acceptable housing,,351785,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",63,488040,
Household characteristics,  In core need,,49860,
Household characteristics,  Not in core need,,438185,
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",,345680,
Household characteristics,  % of owner households with a mortgage,64,65.2,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,61,17.7,
Household characteristics,  % in core housing need,63,5.6,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),65,1720,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),65,1774,
Household characteristics,  Median value of dwellings ($),66,456000,
Household characteristics,  Average value of dwellings ($),66,519500,
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",,156615,
Household characteristics,  % of tenant households in subsidized housing,67,9,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,61,34.4,
Household characteristics,  % in core housing need,63,20.6,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),65,1350,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),65,1404,
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",,0,
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",61,,...
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...
Indigenous ancestry,Total - Indigenous ancestry for the population in private households - 25% sample data,68,1291770,
Indigenous ancestry,  Indigenous ancestry (only),69,14495,
Indigenous ancestry,    Single Indigenous ancestry (only),70,14125,
Indigenous ancestry,      First Nations (North American Indian) single ancestry,,10035,
Indigenous ancestry,      M�tis single ancestry,,3975,
Indigenous ancestry,      Inuit single ancestry,,115,
Indigenous ancestry,    Multiple Indigenous ancestries (only),71,370,
Indigenous ancestry,      First Nations (North American Indian) and M�tis ancestry only,,355,
Indigenous ancestry,      First Nations (North American Indian) and Inuit ancestry only,,0,
Indigenous ancestry,      M�tis and Inuit ancestry only,,15,
Indigenous ancestry,      First Nations (North American Indian) and M�tis and Inuit ancestry only,,0,
Indigenous ancestry,  Indigenous and non-Indigenous ancestries,72,34850,
Indigenous ancestry,    Single Indigenous and non-Indigenous ancestries,73,33825,
Indigenous ancestry,      First Nations (North American Indian) and non-Indigenous ancestry only,,19015,
Indigenous ancestry,      M�tis and non-Indigenous ancestry only,,14490,
Indigenous ancestry,      Inuit and non-Indigenous ancestry only,,320,
Indigenous ancestry,    Multiple Indigenous and non-Indigenous ancestries,74,1030,
Indigenous ancestry,      First Nations (North American Indian) and M�tis and non-Indigenous ancestry only,,935,
Indigenous ancestry,      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,,60,
Indigenous ancestry,      M�tis and Inuit and non-Indigenous ancestry only,,30,
Indigenous ancestry,      First Nations (North American Indian) and M�tis and Inuit and non-Indigenous ancestry only,,0,
Indigenous ancestry,  Non-Indigenous ancestry only,75,1242425,
Citizenship,Total - Citizenship for the population in private households - 25% sample data,76,1291770,
Citizenship,  Canadian citizens,77,1131540,
Citizenship,    Canadian citizens aged under 18,,257900,
Citizenship,    Canadian citizens aged 18 and over,,873645,
Citizenship,  Not Canadian citizens,78,160225,
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,79,1291770,
Immigrant status and period of immigration,  Non-immigrants,80,834100,
Immigrant status and period of immigration,  Immigrants,81,430640,
Immigrant status and period of immigration,    Before 1980,,48430,
Immigrant status and period of immigration,    1980 to 1990,,40330,
Immigrant status and period of immigration,    1991 to 2000,,61465,
Immigrant status and period of immigration,    2001 to 2010,,117055,
Immigrant status and period of immigration,    2011 to 2021,82,163365,
Immigrant status and period of immigration,      2011 to 2015,,82050,
Immigrant status and period of immigration,      2016 to 2021,,81315,
Immigrant status and period of immigration,  Non-permanent residents,83,27025,
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,84,430640,
Age at immigration,  Under 5 years,,37050,
Age at immigration,  5 to 14 years,,71460,
Age at immigration,  15 to 24 years,,74550,
Age at immigration,  25 to 44 years,,204525,
Age at immigration,  45 years and over,,43060,
Selected places of birth for the immigrant population,Total - Place of birth for the immigrant population in private households - 25% sample data,85,430640,
Selected places of birth for the immigrant population,  Americas,,44125,
Selected places of birth for the immigrant population,    Brazil,,2010,
Selected places of birth for the immigrant population,    Colombia,,5865,
Selected places of birth for the immigrant population,    El Salvador,,2425,
Selected places of birth for the immigrant population,    Guyana,,740,
Selected places of birth for the immigrant population,    Haiti,,510,
Selected places of birth for the immigrant population,    Jamaica,,3135,
Selected places of birth for the immigrant population,    Mexico,,4895,
Selected places of birth for the immigrant population,    Peru,,1070,
Selected places of birth for the immigrant population,    Trinidad and Tobago,,1315,
Selected places of birth for the immigrant population,    United States of America,,10895,
Selected places of birth for the immigrant population,    Other places of birth in Americas,,11260,
Selected places of birth for the immigrant population,  Europe,,68740,
Selected places of birth for the immigrant population,    Bosnia and Herzegovina,,2000,
Selected places of birth for the immigrant population,    Croatia,,1330,
Selected places of birth for the immigrant population,    France,,1265,
Selected places of birth for the immigrant population,    Germany,,4685,
Selected places of birth for the immigrant population,    Greece,,865,
Selected places of birth for the immigrant population,    Hungary,,1550,
Selected places of birth for the immigrant population,    Italy,,3075,
Selected places of birth for the immigrant population,    Netherlands,,2620,
Selected places of birth for the immigrant population,    Poland,,5890,
Selected places of birth for the immigrant population,    Portugal,,990,
Selected places of birth for the immigrant population,    Romania,,4025,
Selected places of birth for the immigrant population,    Russian Federation,,4210,
Selected places of birth for the immigrant population,    Serbia,86,980,
Selected places of birth for the immigrant population,    Ukraine,,3035,
Selected places of birth for the immigrant population,    United Kingdom,87,20420,
Selected places of birth for the immigrant population,    Other places of birth in Europe,,11795,
Selected places of birth for the immigrant population,  Africa,,51610,
Selected places of birth for the immigrant population,    Algeria,,630,
Selected places of birth for the immigrant population,"    Congo, Democratic Republic of the",,855,
Selected places of birth for the immigrant population,    Egypt,,3320,
Selected places of birth for the immigrant population,    Eritrea,,4720,
Selected places of birth for the immigrant population,    Ethiopia,,7090,
Selected places of birth for the immigrant population,    Morocco,,870,
Selected places of birth for the immigrant population,    Nigeria,,12450,
Selected places of birth for the immigrant population,    Somalia,,1580,
Selected places of birth for the immigrant population,"    South Africa, Republic of",,3095,
Selected places of birth for the immigrant population,    Other places of birth in Africa,,17005,
Selected places of birth for the immigrant population,  Asia,,262700,
Selected places of birth for the immigrant population,    Afghanistan,,3980,
Selected places of birth for the immigrant population,    Iran,88,5515,
Selected places of birth for the immigrant population,    Iraq,,3935,
Selected places of birth for the immigrant population,    Lebanon,,4095,
Selected places of birth for the immigrant population,    Syria,89,4340,
Selected places of birth for the immigrant population,    Turkey,,1085,
Selected places of birth for the immigrant population,    China,90,36245,
Selected places of birth for the immigrant population,    Hong Kong,91,10775,
Selected places of birth for the immigrant population,"    Korea, South",92,8215,
Selected places of birth for the immigrant population,    Taiwan,,2110,
Selected places of birth for the immigrant population,    Philippines,,65430,
Selected places of birth for the immigrant population,    Viet Nam,,15395,
Selected places of birth for the immigrant population,    Bangladesh,,3510,
Selected places of birth for the immigrant population,    India,,56510,
Selected places of birth for the immigrant population,    Pakistan,,18375,
Selected places of birth for the immigrant population,    Sri Lanka,,1820,
Selected places of birth for the immigrant population,    Other places of birth in Asia,,21375,
Selected places of birth for the immigrant population,  Oceania and other places of birth,93,3470,
Selected places of birth for the recent immigrant population ,Total - Place of birth for the recent immigrant population in private households - 25% sample data,94,81315,
Selected places of birth for the recent immigrant population ,  Americas,,7550,
Selected places of birth for the recent immigrant population ,    Brazil,,840,
Selected places of birth for the recent immigrant population ,    Colombia,,615,
Selected places of birth for the recent immigrant population ,    Haiti,,105,
Selected places of birth for the recent immigrant population ,    Jamaica,,475,
Selected places of birth for the recent immigrant population ,    Mexico,,1265,
Selected places of birth for the recent immigrant population ,    United States of America,,2130,
Selected places of birth for the recent immigrant population ,    Venezuela,95,885,
Selected places of birth for the recent immigrant population ,    Other places of birth in Americas,,1245,
Selected places of birth for the recent immigrant population ,  Europe,,6505,
Selected places of birth for the recent immigrant population ,    France,,200,
Selected places of birth for the recent immigrant population ,    Germany,,225,
Selected places of birth for the recent immigrant population ,    Ireland,96,470,
Selected places of birth for the recent immigrant population ,    Italy,,260,
Selected places of birth for the recent immigrant population ,    Russian Federation,,635,
Selected places of birth for the recent immigrant population ,    Ukraine,,680,
Selected places of birth for the recent immigrant population ,    United Kingdom,87,1420,
Selected places of birth for the recent immigrant population ,    Other places of birth in Europe,,2615,
Selected places of birth for the recent immigrant population ,  Africa,,15065,
Selected places of birth for the recent immigrant population ,    Algeria,,60,
Selected places of birth for the recent immigrant population ,    Burundi,,40,
Selected places of birth for the recent immigrant population ,    Cameroon,,380,
Selected places of birth for the recent immigrant population ,"    Congo, Democratic Republic of the",,155,
Selected places of birth for the recent immigrant population ,    C�te d'Ivoire,,55,
Selected places of birth for the recent immigrant population ,    Egypt,,595,
Selected places of birth for the recent immigrant population ,    Eritrea,,2525,
Selected places of birth for the recent immigrant population ,    Ethiopia,,1845,
Selected places of birth for the recent immigrant population ,    Morocco,,210,
Selected places of birth for the recent immigrant population ,    Nigeria,,5885,
Selected places of birth for the recent immigrant population ,    Somalia,,310,
Selected places of birth for the recent immigrant population ,"    South Africa, Republic of",,650,
Selected places of birth for the recent immigrant population ,    Sudan,97,445,
Selected places of birth for the recent immigrant population ,    Tunisia,,95,
Selected places of birth for the recent immigrant population ,    Other places of birth in Africa,,1815,
Selected places of birth for the recent immigrant population ,  Asia,,51570,
Selected places of birth for the recent immigrant population ,    Afghanistan,,845,
Selected places of birth for the recent immigrant population ,    Bangladesh,,630,
Selected places of birth for the recent immigrant population ,    China,90,5520,
Selected places of birth for the recent immigrant population ,    Hong Kong,91,310,
Selected places of birth for the recent immigrant population ,    India,,14070,
Selected places of birth for the recent immigrant population ,    Iran,88,865,
Selected places of birth for the recent immigrant population ,    Iraq,,945,
Selected places of birth for the recent immigrant population ,    Israel,,340,
Selected places of birth for the recent immigrant population ,    Japan,,170,
Selected places of birth for the recent immigrant population ,    Jordan,,165,
Selected places of birth for the recent immigrant population ,"    Korea, South",92,1740,
Selected places of birth for the recent immigrant population ,    Lebanon,,425,
Selected places of birth for the recent immigrant population ,    Nepal,,460,
Selected places of birth for the recent immigrant population ,    Pakistan,,2315,
Selected places of birth for the recent immigrant population ,    Philippines,,15485,
Selected places of birth for the recent immigrant population ,    Saudi Arabia,,265,
Selected places of birth for the recent immigrant population ,    Sri Lanka,,145,
Selected places of birth for the recent immigrant population ,    Syria,89,3070,
Selected places of birth for the recent immigrant population ,    Turkey,,405,
Selected places of birth for the recent immigrant population ,    United Arab Emirates,,360,
Selected places of birth for the recent immigrant population ,    Viet Nam,,955,
Selected places of birth for the recent immigrant population ,    Other places of birth in Asia,,2090,
Selected places of birth for the recent immigrant population ,  Oceania and other,93,620,
Selected places of birth for the recent immigrant population ,    Australia,,435,
Selected places of birth for the recent immigrant population ,    Other places of birth,98,185,
Generation status,Total - Generation status for the population in private households - 25% sample data,99,1291770,
Generation status,  First generation,100,471470,
Generation status,  Second generation,101,281465,
Generation status,  Third generation or more,102,538830,
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,103,382215,
Admission category and applicant type,  Economic immigrants,104,215420,
Admission category and applicant type,    Principal applicants,105,88050,
Admission category and applicant type,    Secondary applicants,106,127375,
Admission category and applicant type,  Immigrants sponsored by family,107,107140,
Admission category and applicant type,  Refugees,108,55735,
Admission category and applicant type,  Other immigrants,109,3920,
Pre-admission experience,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,110,382215,
Pre-admission experience,  Asylum claim before admission,111,13615,
Pre-admission experience,  Work permits only before admission,112,46635,
Pre-admission experience,  Study permits only before admission,113,9450,
Pre-admission experience,  Work and study permits before admission,114,22045,
Pre-admission experience,  Other permits before admission,115,1375,
Pre-admission experience,  No pre-admission experience,116,289095,
Visible minority,Total - Visible minority for the population in private households - 25% sample data,117,1291770,
Visible minority,  Total visible minority population,118,534695,
Visible minority,    South Asian,,141660,
Visible minority,    Chinese,,91410,
Visible minority,    Black,,70680,
Visible minority,    Filipino,,84215,
Visible minority,    Arab,,30735,
Visible minority,    Latin American,,31855,
Visible minority,    Southeast Asian,,26395,
Visible minority,    West Asian,,15150,
Visible minority,    Korean,,12380,
Visible minority,    Japanese,,5825,
Visible minority,"    Visible minority, n.i.e.",119,5445,
Visible minority,    Multiple visible minorities,,18955,
Visible minority,  Not a visible minority,120,757075,
Ethnic or cultural origin,Total - Ethnic or cultural origin for the population in private households - 25% sample data,121,1291770,
Ethnic or cultural origin,  Canadian,,125490,
Ethnic or cultural origin,  English,,205980,
Ethnic or cultural origin,  Irish,,153865,
Ethnic or cultural origin,  Scottish,,177490,
Ethnic or cultural origin,"  French, n.o.s.",122,79635,
Ethnic or cultural origin,  German,,146970,
Ethnic or cultural origin,  Chinese,,96180,
Ethnic or cultural origin,  Italian,,36235,
Ethnic or cultural origin,  Indian (India),,71115,
Ethnic or cultural origin,  Ukrainian,,69030,
Ethnic or cultural origin,  Dutch,,38505,
Ethnic or cultural origin,  Polish,,42735,
Ethnic or cultural origin,  Qu�b�cois,,1580,
Ethnic or cultural origin,"  British Isles, n.o.s.",123,41520,
Ethnic or cultural origin,  Filipino,,79200,
Ethnic or cultural origin,  French Canadian,,9130,
Ethnic or cultural origin,"  Caucasian (White), n.o.s.",124,20860,
Ethnic or cultural origin,"  First Nations (North American Indian), n.o.s.",125,12415,
Ethnic or cultural origin,  M�tis,,19805,
Ethnic or cultural origin,"  European, n.o.s.",126,22790,
Ethnic or cultural origin,  Russian,,28470,
Ethnic or cultural origin,  Norwegian,,32675,
Ethnic or cultural origin,  Welsh,,21030,
Ethnic or cultural origin,  Portuguese,,6770,
Ethnic or cultural origin,  American,,18030,
Ethnic or cultural origin,  Spanish,,17085,
Ethnic or cultural origin,  Swedish,,20940,
Ethnic or cultural origin,  Hungarian,,16335,
Ethnic or cultural origin,  Acadian,,2935,
Ethnic or cultural origin,  Pakistani,,22800,
Ethnic or cultural origin,"  African, n.o.s.",127,13470,
Ethnic or cultural origin,  Jewish,,6595,
Ethnic or cultural origin,  Punjabi,,18050,
Ethnic or cultural origin,  Vietnamese,,21145,
Ethnic or cultural origin,"  Arab, n.o.s.",128,10585,
Ethnic or cultural origin,  Greek,,5540,
Ethnic or cultural origin,  Jamaican,,5860,
Ethnic or cultural origin,"  Asian, n.o.s.",129,14510,
Ethnic or cultural origin,"  Cree, n.o.s.",130,5915,
Ethnic or cultural origin,  Korean,,12445,
Ethnic or cultural origin,  Romanian,,10540,
Ethnic or cultural origin,  Lebanese,,11360,
Ethnic or cultural origin,  Iranian,,6105,
Ethnic or cultural origin,"  Christian, n.i.e.",131,4815,
Ethnic or cultural origin,  Danish,,14575,
Ethnic or cultural origin,"  North American Indigenous, n.o.s.",132,4225,
Ethnic or cultural origin,  Sikh,,14120,
Ethnic or cultural origin,  Austrian,,10255,
Ethnic or cultural origin,  Belgian,,5295,
Ethnic or cultural origin,  Haitian,,930,
Ethnic or cultural origin,  Hindu,,8550,
Ethnic or cultural origin,  Mexican,,7685,
Ethnic or cultural origin,  Mennonite,,3750,
Ethnic or cultural origin,  Swiss,,5765,
Ethnic or cultural origin,  Finnish,,5250,
Ethnic or cultural origin,  Sri Lankan,,1865,
Ethnic or cultural origin,  Croatian,,5170,
Ethnic or cultural origin,  Japanese,,7785,
Ethnic or cultural origin,"  South Asian, n.o.s.",133,4655,
Ethnic or cultural origin,"  Mi'kmaq, n.o.s.",134,1330,
Ethnic or cultural origin,"  Northern European, n.o.s.",135,6340,
Ethnic or cultural origin,  Muslim,,6060,
Ethnic or cultural origin,  Egyptian,,4610,
Ethnic or cultural origin,"  Latin, Central or South American, n.o.s.",136,5960,
Ethnic or cultural origin,  Tamil,,1370,
Ethnic or cultural origin,  Icelandic,,6025,
Ethnic or cultural origin,  Colombian,,6420,
Ethnic or cultural origin,  Moroccan,,880,
Ethnic or cultural origin,  Czech,,6295,
Ethnic or cultural origin,  Syrian,,4215,
Ethnic or cultural origin,  Guyanese,,1210,
Ethnic or cultural origin,  Afghan,,6465,
Ethnic or cultural origin,"  Black, n.o.s.",137,2530,
Ethnic or cultural origin,  Serbian,,3125,
Ethnic or cultural origin,  Ojibway,,1165,
Ethnic or cultural origin,  Newfoundlander,,1500,
Ethnic or cultural origin,  Hong Konger,,3940,
Ethnic or cultural origin,  Ontarian,,1030,
Ethnic or cultural origin,  Persian,,2700,
Ethnic or cultural origin,  Trinidadian/Tobagonian,,1495,
Ethnic or cultural origin,  Turkish,,2610,
Ethnic or cultural origin,"  Inuit, n.o.s.",138,520,
Ethnic or cultural origin,  Bangladeshi,,3570,
Ethnic or cultural origin,  Algerian,,645,
Ethnic or cultural origin,  Brazilian,,2555,
Ethnic or cultural origin,  Nigerian,,8120,
Ethnic or cultural origin,  Armenian,,925,
Ethnic or cultural origin,  Slovak,,3520,
Ethnic or cultural origin,"  Eastern European, n.o.s.",139,2620,
Ethnic or cultural origin,  Somali,,2830,
Ethnic or cultural origin,  Taiwanese,,2120,
Ethnic or cultural origin,  Iraqi,,3035,
Ethnic or cultural origin,  Salvadorean,,2325,
Ethnic or cultural origin,  African Caribbean,,930,
Ethnic or cultural origin,"  East or Southeast Asian, n.o.s.",140,3670,
Ethnic or cultural origin,"  West or Central Asian or Middle Eastern, n.o.s.",141,2645,
Ethnic or cultural origin,"  Caribbean, n.o.s.",142,1330,
Ethnic or cultural origin,  Algonquin,,380,
Ethnic or cultural origin,"  West Indian, n.o.s.",143,835,
Ethnic or cultural origin,  Lithuanian,,2015,
Ethnic or cultural origin,  South African,,2915,
Ethnic or cultural origin,  Australian,,3060,
Ethnic or cultural origin,  Palestinian,,1675,
Ethnic or cultural origin,  Chilean,,2925,
Ethnic or cultural origin,  Congolese,,1045,
Ethnic or cultural origin,  Nova Scotian,,850,
Ethnic or cultural origin,  Ethiopian,,6695,
Ethnic or cultural origin,"  Hispanic, n.o.s.",144,2920,
Ethnic or cultural origin,  Peruvian,,1450,
Ethnic or cultural origin,  Yoruba,,5200,
Ethnic or cultural origin,  Cambodian (Khmer),,1960,
Ethnic or cultural origin,  Berber,,405,
Ethnic or cultural origin,  Albanian,,1870,
Ethnic or cultural origin,  Maltese,,505,
Ethnic or cultural origin,  Macedonian,,385,
Ethnic or cultural origin,  Slovenian,,1445,
Ethnic or cultural origin,"  Western European, n.o.s.",145,1960,
Ethnic or cultural origin,  New Brunswicker,,410,
Ethnic or cultural origin,  Gujarati,,1665,
Ethnic or cultural origin,  Eritrean,,5320,
Ethnic or cultural origin,  African Canadian,,940,
Ethnic or cultural origin,  Israeli,,1095,
Ethnic or cultural origin,  Mohawk,,500,
Ethnic or cultural origin,"  Czechoslovakian, n.o.s.",146,1685,
Ethnic or cultural origin,  Bulgarian,,1305,
Ethnic or cultural origin,  Albertan,,5465,
Ethnic or cultural origin,  Ghanaian,,1405,
Ethnic or cultural origin,  Barbadian,,640,
Ethnic or cultural origin,  African American,,935,
Ethnic or cultural origin,"  Yugoslavian, n.o.s.",147,1030,
Ethnic or cultural origin,  Tunisian,,300,
Ethnic or cultural origin,"  Slavic, n.o.s.",148,1305,
Ethnic or cultural origin,  Cuban,,830,
Ethnic or cultural origin,  Bosnian,,1870,
Ethnic or cultural origin,  Venezuelan,,3025,
Ethnic or cultural origin,"  Innu/Montagnais, n.o.s.",149,30,
Ethnic or cultural origin,  Latvian,,1025,
Ethnic or cultural origin,  Bengali,,1200,
Ethnic or cultural origin,  Cameroonian,,930,
Ethnic or cultural origin,  Guatemalan,,1200,
Ethnic or cultural origin,  Indonesian,,1555,
Ethnic or cultural origin,  Laotian,,1015,
Ethnic or cultural origin,  Ilocano,,2575,
Ethnic or cultural origin,  Northern Irish,,920,
Ethnic or cultural origin,"  Celtic, n.o.s.",150,805,
Ethnic or cultural origin,  British Columbian,,520,
Ethnic or cultural origin,  Ecuadorian,,405,
Ethnic or cultural origin,  Franco Ontarian,,125,
Ethnic or cultural origin,  Argentinian,,1050,
Ethnic or cultural origin,  Estonian,,980,
Ethnic or cultural origin,  Kurdish,,1060,
Ethnic or cultural origin,  Fijian,,1145,
Ethnic or cultural origin,  Jatt,,1410,
Ethnic or cultural origin,"  North American, n.o.s.",151,645,
Ethnic or cultural origin,  Coptic,,440,
Ethnic or cultural origin,  Thai,,1185,
Ethnic or cultural origin,  Dominican,,405,
Ethnic or cultural origin,  Nepali,,2255,
Ethnic or cultural origin,  Kabyle,,95,
Ethnic or cultural origin,  Assyrian,,420,
Ethnic or cultural origin,  Igbo,,3150,
Ethnic or cultural origin,  Byelorussian,,730,
Ethnic or cultural origin,"  Dene, n.o.s.",152,215,
Ethnic or cultural origin,"  Blackfoot, n.o.s.",153,1580,
Ethnic or cultural origin,  Abenaki,,50,
Ethnic or cultural origin,  Moldovan,,990,
Ethnic or cultural origin,"  Iroquois (Haudenosaunee), n.o.s.",154,245,
Ethnic or cultural origin,  New Zealander,,1095,
Ethnic or cultural origin,  Sudanese,,2480,
Ethnic or cultural origin,  Breton,,40,
Ethnic or cultural origin,  Pennsylvania Dutch,,350,
Ethnic or cultural origin,  Malaysian,,1175,
Ethnic or cultural origin,  Plains Cree,,200,
Ethnic or cultural origin,"  North African, n.o.s.",155,420,
Ethnic or cultural origin,  Huron (Wendat),,80,
Ethnic or cultural origin,  Saskatchewanian,,1150,
Ethnic or cultural origin,  Buddhist,,1010,
Ethnic or cultural origin,  Gaspesian,,10,
Ethnic or cultural origin,  Norman,,145,
Ethnic or cultural origin,"  Southern or East African, n.o.s.",156,1270,
Ethnic or cultural origin,  Ivorian,,210,
Ethnic or cultural origin,  Saulteaux,,280,
Ethnic or cultural origin,"  Anishinaabe, n.o.s.",157,160,
Ethnic or cultural origin,  Burundian,,150,
Ethnic or cultural origin,  Tigrinya,,2240,
Ethnic or cultural origin,  Nicaraguan,,800,
Ethnic or cultural origin,  Mauritian,,450,
Ethnic or cultural origin,  Kenyan,,1050,
Ethnic or cultural origin,  Oji-Cree,,20,
Ethnic or cultural origin,  Vincentian,,175,
Ethnic or cultural origin,  Jordanian,,445,
Ethnic or cultural origin,  Manitoban,,460,
Ethnic or cultural origin,  Cape Bretoner,,175,
Ethnic or cultural origin,  Rwandan,,280,
Ethnic or cultural origin,  Grenadian,,225,
Ethnic or cultural origin,  Malayali,,665,
Ethnic or cultural origin,  Chaldean,,165,
Ethnic or cultural origin,  Sinhalese,,555,
Ethnic or cultural origin,  Mayan,,575,
Ethnic or cultural origin,  Honduran,,340,
Ethnic or cultural origin,  Cherokee,,545,
Ethnic or cultural origin,  Qalipu Mi'kmaq,,110,
Ethnic or cultural origin,  Indo-Caribbean,,140,
Ethnic or cultural origin,  Flemish,,420,
Ethnic or cultural origin,  United Empire Loyalist,,180,
Ethnic or cultural origin,  Senegalese,,140,
Ethnic or cultural origin,  Azerbaijani,,670,
Ethnic or cultural origin,  Sicilian,,110,
Ethnic or cultural origin,  Pashtun,,820,
Ethnic or cultural origin,  Malay,,790,
Ethnic or cultural origin,  Goan,,350,
Ethnic or cultural origin,"  Bantu, n.o.s.",158,330,
Ethnic or cultural origin,  Tibetan,,790,
Ethnic or cultural origin,  Zimbabwean,,660,
Ethnic or cultural origin,  Burmese,,540,
Ethnic or cultural origin,  Mongolian,,985,
Ethnic or cultural origin,  Azorean,,70,
Ethnic or cultural origin,  Atikamekw,,0,
Ethnic or cultural origin,  Bamileke,,105,
Ethnic or cultural origin,  Indo-Guyanese,,80,
Ethnic or cultural origin,  Ugandan,,300,
Ethnic or cultural origin,  Oromo,,1560,
Ethnic or cultural origin,  Tanzanian,,795,
Ethnic or cultural origin,  Yemeni,,555,
Ethnic or cultural origin,  Central African,,70,
Ethnic or cultural origin,  Libyan,,445,
Ethnic or cultural origin,  Basque,,175,
Ethnic or cultural origin,  Uruguayan,,85,
Ethnic or cultural origin,"  Akan, n.o.s.",159,295,
Ethnic or cultural origin,"  Central or West African, n.o.s.",160,345,
Ethnic or cultural origin,  Igorot,,1195,
Ethnic or cultural origin,  Fulani,,65,
Ethnic or cultural origin,  Woodland Cree,,70,
Ethnic or cultural origin,  Guinean,,155,
Ethnic or cultural origin,  St. Lucian,,230,
Ethnic or cultural origin,  Prince Edward Islander,,215,
Ethnic or cultural origin,  Maliseet,,25,
Ethnic or cultural origin,  Beninese,,145,
